year,race,births,deaths,rate_per_1000,rate_lo,rate_hi
1999,White,6971,35,5.02,3.36,6.68
1999,Black,5283,77,14.58,11.32,17.83
2000,White,6978,43,6.16,4.32,8.0
2000,Black,5196,93,17.9,14.26,21.54
2001,White,6581,42,6.38,4.45,8.31
2001,Black,5141,85,16.53,13.02,20.05
2002,White,6383,39,6.11,4.19,8.03
2002,Black,4962,91,18.34,14.57,22.11
2003,White,6646,39,5.87,4.03,7.71
2003,Black,5041,79,15.67,12.22,19.13
2004,White,6345,34,5.36,3.56,7.16
2004,Black,5032,96,19.08,15.26,22.89
2005,White,6293,40,6.36,4.39,8.33
2005,Black,5233,80,15.29,11.94,18.64
2006,White,6280,33,5.25,3.46,7.05
2006,Black,5380,97,18.03,14.44,21.62
2007,White,6113,37,6.05,4.1,8.0
2007,Black,5550,80,14.41,11.26,17.57
2008,White,6150,35,5.69,3.81,7.58
2008,Black,5471,73,13.34,10.28,16.4
2009,White,6011,33,5.49,3.62,7.36
2009,Black,5484,81,14.77,11.55,17.99
2010,White,5707,26,4.56,2.8,6.31
2010,Black,5053,72,14.25,10.96,17.54
2011,White,5599,26,4.64,2.86,6.43
2011,Black,4674,63,13.48,10.15,16.81
2012,White,5374,24,4.47,2.68,6.25
2012,Black,4597,67,14.57,11.08,18.06
2013,White,5444,43,7.9,5.54,10.26
2013,Black,4675,78,16.68,12.98,20.39
2014,White,5171,19,3.67,2.02,5.33
2014,Black,4888,62,12.68,9.53,15.84
2015,White,5088,24,4.72,2.83,6.6
2015,Black,4819,60,12.45,9.3,15.6
2016,White,4881,24,4.92,2.95,6.88
2016,Black,4652,61,13.11,9.82,16.4
2017,White,4659,13,2.79,1.27,4.31
2017,Black,4803,83,17.28,13.56,21.0
2018,White,4471,26,5.82,3.58,8.05
2018,Black,4631,63,13.6,10.24,16.96
2019,White,4453,16,3.59,1.83,5.35
2019,Black,4817,57,11.83,8.76,14.91
2020,White,4056,21,5.18,2.96,7.39
2020,Black,4485,68,15.16,11.56,18.77
2021,White,4155,12,2.89,1.25,4.52
2021,Black,4026,51,12.67,9.19,16.14
2022,White,3953,21,5.31,3.04,7.58
2022,Black,3837,44,11.47,8.08,14.86
2023,White,3876,13,3.35,1.53,5.18
2023,Black,3789,55,14.52,10.68,18.35
