group,study,age_bin,coef,se,t,pval,ci_lo,ci_hi,n
1,NSHD 1946,Pooled,0.12996960702859164,0.05904757636376391,2.2010997746615537,0.027728961244612244,0.014238483981235811,0.24570073007594748,1980
1,NSHD 1946,Age 20–29,-0.0006450752847629512,0.043912672758817835,-0.014689957231843001,0.9882795314634862,-0.08671233235693904,0.08542218178741315,270
1,NSHD 1946,Age 30–39,-0.09515568813597923,0.027202490872508416,-3.498050549192397,0.00046867229409418396,-0.14847159053587528,-0.041839785736083185,450
1,NSHD 1946,Age 40–49,0.02148134032983756,0.05284896332332931,0.4064666358432612,0.6843997668607997,-0.08210072440416612,0.12506340506384123,450
1,NSHD 1946,Age 50–59,0.24840561253688132,0.1268466969758587,1.9583136057863417,0.050193225258027316,-0.0002093450936675456,0.4970205701674302,450
1,NSHD 1946,Age 60–69,0.49690256420735796,0.1767239495142556,2.8117443367078825,0.004927365105466962,0.15052998795374217,0.8432751404609737,360
2,NCDS 1958,Pooled,-0.021292708980966836,0.023314320571884956,-0.9132888481701669,0.3610906459371128,-0.06698793762588262,0.024402519663948956,1980
2,NCDS 1958,Age 10–19,0.08072047985498754,0.034702603936488385,2.326064061438145,0.02001513342283682,0.012704625969712391,0.14873633374026268,360
2,NCDS 1958,Age 20–29,0.0343999132333381,0.029154764642587178,1.179907080542478,0.23803717344281872,-0.022742375443874543,0.09154220191055075,450
2,NCDS 1958,Age 30–39,-0.12194666742253399,0.044256223051334566,-2.7554693784212714,0.005860799025768325,-0.20868727069492107,-0.035206064150146904,450
2,NCDS 1958,Age 40–49,-0.05395802073879841,0.06669956475726922,-0.8089711070103769,0.4185317658082738,-0.18468676544754314,0.07677072396994633,450
2,NCDS 1958,Age 50–57,-0.027932547453773465,0.07666342164817956,-0.3643529972085031,0.7155944294853309,-0.17819009281581372,0.12232499790826679,270
3,BCS70 1970,Pooled,0.0746820991468161,0.019158034602981017,3.8982129792789633,9.690517044080544e-05,0.037133041310401196,0.11223115698323101,1953
3,BCS70 1970,Age 0–9,0.06970469069425521,0.028434789813875688,2.451387583678938,0.014230662980641328,0.013973526751092473,0.12543585463741794,423
3,BCS70 1970,Age 10–19,0.004276291216082459,0.026084597307381475,0.16393932272331246,0.8697789108048486,-0.046848580057615705,0.05540116248978062,450
3,BCS70 1970,Age 20–29,0.06674603005952436,0.03408847642934981,1.958023269178928,0.050227282333502106,-6.615602984381963e-05,0.13355821614889252,450
3,BCS70 1970,Age 30–39,0.09166635167044501,0.0592026268951887,1.548349397278089,0.12153819741578886,-0.024368664834287207,0.20770136817517723,450
3,BCS70 1970,Age 40–45,0.2390904876854278,0.06617418130662907,3.613047913317768,0.000302618757697269,0.10939147561801113,0.3687894997528445,180
