Study,Age interval,Cohort coef.,(SE),p-value,N
NSHD 1946,Pooled,0.130**,(0.059),0.028,"1,980"
NSHD 1946,Age 20–29,-0.001,(0.044),0.988,270
NSHD 1946,Age 30–39,-0.095***,(0.027),0.000,450
NSHD 1946,Age 40–49,0.021,(0.053),0.684,450
NSHD 1946,Age 50–59,0.248*,(0.127),0.050,450
NSHD 1946,Age 60–69,0.497***,(0.177),0.005,360
NCDS 1958,Pooled,-0.021,(0.023),0.361,"1,980"
NCDS 1958,Age 10–19,0.081**,(0.035),0.020,360
NCDS 1958,Age 20–29,0.034,(0.029),0.238,450
NCDS 1958,Age 30–39,-0.122***,(0.044),0.006,450
NCDS 1958,Age 40–49,-0.054,(0.067),0.419,450
NCDS 1958,Age 50–57,-0.028,(0.077),0.716,270
BCS70 1970,Pooled,0.075***,(0.019),0.000,"1,953"
BCS70 1970,Age 0–9,0.070**,(0.028),0.014,423
BCS70 1970,Age 10–19,0.004,(0.026),0.870,450
BCS70 1970,Age 20–29,0.067*,(0.034),0.050,450
BCS70 1970,Age 30–39,0.092,(0.059),0.122,450
BCS70 1970,Age 40–45,0.239***,(0.066),0.000,180
