coef,se,t,pval,ci_lo,ci_hi,n,cause,study
0.02075008596463953,0.026302428279110737,0.7889038131555005,0.430168226876923,-0.03080172616836535,0.07230189809764441,1980,cancer,NSHD 1946
0.01162560619893953,0.013191417736780049,0.881300738928557,0.3781550662601716,-0.014229097470172236,0.037480309868051294,1980,cancer,NCDS 1958
0.04447525395406578,0.0064596670687311905,6.885069072577082,5.775950239540704e-12,0.03181453914723322,0.05713596876089833,1926,cancer,BCS70 1970
-0.0012968803727914629,0.028367862904700572,-0.04571653413400306,0.9635361852544692,-0.05689686998437439,0.05430310923879146,1980,cardiovascular,NSHD 1946
-0.03186620344570034,0.013059196593735986,-2.4401350586134356,0.014681771776301918,-0.05746175843645103,-0.0062706484549496545,1980,cardiovascular,NCDS 1958
0.005346963876173623,0.005132781703954185,1.041728283915608,0.29753767189273117,-0.00471310340408271,0.015407031156429956,1926,cardiovascular,BCS70 1970
0.05734063933979124,0.006249923175129073,9.17461506854555,4.5319068156282526e-20,0.045091015010396036,0.06959026366918644,1980,respiratory,NSHD 1946
0.002362174964724793,0.005088819537858476,0.4641891792686492,0.6425122130819103,-0.007611728053301582,0.012336077982751168,1980,respiratory,NCDS 1958
0.0004279344922670167,0.00454193401388412,0.09421856217172572,0.9249355398839003,-0.008474092595103304,0.009329961579637338,1926,respiratory,BCS70 1970
0.007040207738003596,0.009757337312626506,0.7215296050996616,0.470583732618695,-0.012083821979753193,0.026164237455760384,1980,external,NSHD 1946
-0.0007873916549085056,0.013058389647083423,-0.06029776076442692,0.9519184853540044,-0.02638136505928272,0.024806581749465713,1980,external,NCDS 1958
0.018121806245062155,0.008538839185538492,2.122279838195515,0.03381424554132795,0.001385988971627384,0.03485762351849693,1926,external,BCS70 1970
0.04029592586883509,0.013387453494517997,3.0099769075078986,0.002612675530008017,0.014056999174874928,0.06653485256279526,1980,other,NSHD 1946
-0.0016674176221590231,0.007697933140165597,-0.2166058852159833,0.8285154988869676,-0.01675508933228092,0.013420254087962871,1980,other,NCDS 1958
0.009303694971770698,0.010641724323544445,0.8742657382306547,0.3819735532068794,-0.011553701435780285,0.03016109137932168,1926,other,BCS70 1970
