year,subject,race,group,avg_score
2015-16,Composite,Black,MMSD Black,16.03
2015-16,Composite,Hispanic,MMSD Hispanic,18.04
2015-16,English,Black,MMSD Black,14.54
2015-16,English,Hispanic,MMSD Hispanic,16.95
2015-16,Mathematics,Black,MMSD Black,16.47
2015-16,Mathematics,Hispanic,MMSD Hispanic,18.17
2016-17,Composite,Black,MMSD Black,16.12
2016-17,Composite,Hispanic,MMSD Hispanic,17.68
2016-17,English,Black,MMSD Black,14.61
2016-17,English,Hispanic,MMSD Hispanic,16.16
2016-17,Mathematics,Black,MMSD Black,16.41
2016-17,Mathematics,Hispanic,MMSD Hispanic,17.99
2017-18,Composite,Black,MMSD Black,15.48
2017-18,Composite,Hispanic,MMSD Hispanic,17.26
2017-18,English,Black,MMSD Black,13.92
2017-18,English,Hispanic,MMSD Hispanic,16.17
2017-18,Mathematics,Black,MMSD Black,16.13
2017-18,Mathematics,Hispanic,MMSD Hispanic,17.48
2018-19,Composite,Black,MMSD Black,15.49
2018-19,Composite,Hispanic,MMSD Hispanic,17.52
2018-19,English,Black,MMSD Black,13.99
2018-19,English,Hispanic,MMSD Hispanic,16.31
2018-19,Mathematics,Black,MMSD Black,15.98
2018-19,Mathematics,Hispanic,MMSD Hispanic,17.66
2021-22,Composite,Black,MMSD Black,15.909999999999998
2021-22,Composite,Hispanic,MMSD Hispanic,16.74
2021-22,English,Black,MMSD Black,14.54
2021-22,English,Hispanic,MMSD Hispanic,14.82
2021-22,Mathematics,Black,MMSD Black,15.990000000000002
2021-22,Mathematics,Hispanic,MMSD Hispanic,16.8
2022-23,Composite,Black,MMSD Black,14.82
2022-23,Composite,Hispanic,MMSD Hispanic,16.87
2022-23,English,Black,MMSD Black,12.81
2022-23,English,Hispanic,MMSD Hispanic,15.079999999999998
2022-23,Mathematics,Black,MMSD Black,15.28
2022-23,Mathematics,Hispanic,MMSD Hispanic,16.76
2015-16,Composite,White,Non-MMSD White,21.23847298956415
2015-16,English,White,Non-MMSD White,20.490986801718847
2015-16,Mathematics,White,Non-MMSD White,21.114476928586043
2016-17,Composite,White,Non-MMSD White,21.27434938767366
2016-17,English,White,Non-MMSD White,20.48976180380615
2016-17,Mathematics,White,Non-MMSD White,21.134945751128623
2017-18,Composite,White,Non-MMSD White,21.36822184589331
2017-18,English,White,Non-MMSD White,20.74167305872391
2017-18,Mathematics,White,Non-MMSD White,21.115457239627435
2018-19,Composite,White,Non-MMSD White,21.105195358029697
2018-19,English,White,Non-MMSD White,20.275599756752648
2018-19,Mathematics,White,Non-MMSD White,21.031974864440276
2021-22,Composite,White,Non-MMSD White,20.04770134139229
2021-22,English,White,Non-MMSD White,18.882851651556123
2021-22,Mathematics,White,Non-MMSD White,19.924149302794127
2022-23,Composite,White,Non-MMSD White,20.22782896004846
2022-23,English,White,Non-MMSD White,19.124027093256974
2022-23,Mathematics,White,Non-MMSD White,19.992529254660095
