year,subject,race,group,mean_ss,n_tested
2008-09,Math,Black,MMSD Black,458.7658043273754,2126.0
2008-09,Math,Hispanic,MMSD Hispanic,471.1392909896603,1354.0
2008-09,Reading,Black,MMSD Black,453.0993411764706,2125.0
2008-09,Reading,Hispanic,MMSD Hispanic,458.4929889298893,1355.0
2009-10,Math,Black,MMSD Black,460.00058558558555,2220.0
2009-10,Math,Hispanic,MMSD Hispanic,471.33872549019605,1428.0
2009-10,Reading,Black,MMSD Black,454.84826498422717,2219.0
2009-10,Reading,Hispanic,MMSD Hispanic,458.3977591036415,1428.0
2010-11,Math,Black,MMSD Black,458.4233910341767,2253.0
2010-11,Math,Hispanic,MMSD Hispanic,471.4698752228164,1683.0
2010-11,Reading,Black,MMSD Black,456.0497338065661,2254.0
2010-11,Reading,Hispanic,MMSD Hispanic,462.98882947118244,1683.0
2011-12,Math,Black,MMSD Black,459.63316261203585,2343.0
2011-12,Math,Hispanic,MMSD Hispanic,473.6811447811448,1782.0
2011-12,Reading,Black,MMSD Black,453.3774647887325,2343.0
2011-12,Reading,Hispanic,MMSD Hispanic,460.06806958473624,1782.0
2012-13,Math,Black,MMSD Black,456.2351200686106,2332.0
2012-13,Math,Hispanic,MMSD Hispanic,471.2565104166667,1920.0
2012-13,Reading,Black,MMSD Black,452.36722365038554,2334.0
2012-13,Reading,Hispanic,MMSD Hispanic,460.7585543421737,1923.0
2013-14,Math,Black,MMSD Black,455.7011869436202,2359.0
2013-14,Math,Hispanic,MMSD Hispanic,468.81535066208926,2039.0
2013-14,Reading,Black,MMSD Black,451.9134802882577,2359.0
2013-14,Reading,Hispanic,MMSD Hispanic,458.27278978389006,2036.0
2008-09,Math,White,Non-MMSD White,510.4572642332901,193613.0
2008-09,Reading,White,Non-MMSD White,503.5158785493684,193626.0
2009-10,Math,White,Non-MMSD White,511.9496521202141,194320.0
2009-10,Reading,White,Non-MMSD White,502.9828275602991,194323.0
2010-11,Math,White,Non-MMSD White,512.4108743849301,195303.0
2010-11,Reading,White,Non-MMSD White,505.21049154131003,195243.0
2011-12,Math,White,Non-MMSD White,514.4736085826081,194999.0
2011-12,Reading,White,Non-MMSD White,503.8481281831657,194971.0
2012-13,Math,White,Non-MMSD White,514.5684139639291,193785.0
2012-13,Reading,White,Non-MMSD White,505.5942722093791,193792.0
2013-14,Math,White,Non-MMSD White,514.4359087063291,193836.0
2013-14,Reading,White,Non-MMSD White,504.4815222663708,193790.0
