year,subject,race,mean_ss,n_tested
2008-09,Math,Black,461.26191777865705,27803.0
2008-09,Math,Hispanic,474.04391042619795,20765.0
2008-09,Math,White,510.717715144152,198367.0
2008-09,Reading,Black,457.6762064005754,27810.0
2008-09,Reading,Hispanic,466.5719407100999,20307.0
2008-09,Reading,White,503.8591912450411,198379.0
2009-10,Math,Black,464.6157600406711,27538.0
2009-10,Math,Hispanic,476.7025039123631,21726.0
2009-10,Math,White,512.1585610108883,199112.0
2009-10,Reading,Black,458.97564781882846,27554.0
2009-10,Reading,Hispanic,467.17752227249406,21439.0
2009-10,Reading,White,503.2723373694863,199117.0
2010-11,Math,Black,463.11099739621005,27652.0
2010-11,Math,Hispanic,477.9811638464713,24230.0
2010-11,Math,White,512.6357123199248,199847.0
2010-11,Reading,Black,461.1327385261329,27628.0
2010-11,Reading,Hispanic,471.4977683627669,23839.0
2010-11,Reading,White,505.51180807560047,199787.0
2011-12,Math,Black,463.42600170806355,28102.0
2011-12,Math,Hispanic,480.0684529087474,25939.0
2011-12,Math,White,514.5815474698456,199474.0
2011-12,Reading,Black,458.07992243649034,28106.0
2011-12,Reading,Hispanic,469.9919296592871,25476.0
2011-12,Reading,White,504.0786702031648,199444.0
2012-13,Math,Black,461.57485040667893,27909.0
2012-13,Math,Hispanic,479.19188977843976,26855.0
2012-13,Math,White,514.704218145891,198381.0
2012-13,Reading,Black,460.34134188279126,27916.0
2012-13,Reading,Hispanic,470.90250018630303,26838.0
2012-13,Reading,White,505.82647791197047,198388.0
2013-14,Math,Black,459.31238769013083,28270.0
2013-14,Math,Hispanic,478.9371009737133,28037.0
2013-14,Math,White,514.5873697266718,198333.0
2013-14,Reading,Black,456.8948146053515,28291.0
2013-14,Reading,Hispanic,469.612007993434,28023.0
2013-14,Reading,White,504.7721788509642,198288.0
